comment_number,describe,introduce,movie_name,serial_number,start
340901人评价,英雄泪短，兄弟情长。 ,1986/中国香港/剧情动作犯罪,英雄本色,147,8.7
444835人评价,岁月流逝，来日可追。,2010/中国香港中国大陆/剧情家庭,岁月神偷,148,8.7
423457人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012/美国/剧情动作西部冒险,被解救的姜戈,149,8.7
128658人评价,时代悲歌。,1954/日本/动作冒险剧情,七武士,150,9.2
135120人评价,传奇的年代，醉人的童话。,1983(中国大陆)/中国大陆/动画奇幻,天书奇谭,151,9.2
166582人评价,想你时你在闹海。,1979/中国大陆/冒险动画奇幻,哪吒闹海,152,9.1
601068人评价,老少皆宜，这就是好莱坞动画的魅力。,2013/美国/喜剧动画冒险,疯狂原始人,153,8.7
82412人评价,土壤没有落叶不会肥沃，没有了你就不算人生。,2017/日本/纪录片,人生果实,154,9.5
202583人评价,爱并不需要智商 。,2001/美国/剧情家庭,我是山姆,155,8.9
335439人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014/中国大陆/剧情犯罪悬疑,心迷宫,156,8.7
276102人评价,香港浪漫主义警匪动作片的巅峰之作。,1991/中国香港/剧情喜剧动作犯罪,纵横四海,157,8.8
587010人评价,怼天怼地，你走后，她与世界为敌。,2017/美国英国/剧情犯罪,三块广告牌,158,8.7
311473人评价,幸福是生生不息，却难以触及的远。 ,1988/日本/动画剧情战争,萤火虫之墓,159,8.7
507564人评价,爱，是个动词。,2003/英国美国法国/喜剧剧情爱情,真爱至上,160,8.6
980580人评价,写给影迷，动漫迷和游戏迷的一封情书。,2018/美国/动作科幻冒险,头号玩家,161,8.7
312605人评价,Jared Leto的腿比女人还美！,2013/美国/剧情传记同性,达拉斯买家俱乐部,162,8.8
283087人评价,始于荒诞，止于更荒诞。,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,163,8.8
420835人评价,电影诗。,1994/中国香港中国台湾/剧情动作爱情武侠古装,东邪西毒,164,8.6
383089人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014/美国/剧情音乐,爆裂鼓手,165,8.7
427382人评价,一个针管引发的血案。,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,166,8.6
554422人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008/英国美国/剧情爱情,贫民窟的百万富翁,167,8.6
761091人评价,揭露人性的丧尸题材力作。,2016/韩国/动作惊悚灾难,釜山行,168,8.5
618821人评价,黑暗之美。,2010/美国/剧情惊悚,黑天鹅,169,8.6
391785人评价,偷情本没有这样美。,2000/中国香港/剧情爱情,花样年华,170,8.6
940447人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016/日本/剧情爱情动画,你的名字。,171,8.4
197912人评价,当这个世界闭上双眼，他却敞开了怀抱。,2004/英国南非意大利/剧情历史战争,卢旺达饭店,172,8.9
125494人评价,养狗三日，便会对你终其一生。,1987/日本/剧情,忠犬八公物语,173,9.2
403315人评价,愿我们都不用长大，每一座城堡都能永远存在。,2015/美国/喜剧动画冒险,头脑特工队,174,8.7
417672人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014/英国美国/剧情传记战争同性,模仿游戏,175,8.7
283786人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,176,8.7
247287人评价,惠及一生的美丽。,2015/瑞典/剧情,一个叫欧维的男人决定去死,177,8.8
300994人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988/美国/剧情,雨人,178,8.7
238568人评价,感情不分食草或者食肉。,2010/日本/剧情动画儿童,你看起来好像很好吃,179,8.9
367415人评价,不一样的导演，不一样的哈利·波特。,2004/英国美国/奇幻冒险,哈利·波特与阿兹卡班的囚徒,180,8.6
366982人评价,迪士尼和皮克斯拿错剧本的产物。,2012/美国/喜剧动画奇幻冒险,无敌破坏王,181,8.7
179580人评价,好的剧本是，就算你猜到了结局也猜不到全部。,1997/日本/动画奇幻惊悚,未麻的部屋,182,8.9
455291人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004/美国/剧情爱情,恋恋笔记本,183,8.5
441883人评价,松鼠才是角儿。,2002/美国/喜剧动画冒险,冰川时代,184,8.6
386836人评价,魔法的密室之门已打开...,2002/美国英国德国/奇幻冒险,哈利·波特与密室,185,8.6
265784人评价,是枝裕和的家庭习作。,2015/日本/剧情家庭,海街日记,186,8.8
216478人评价,要做就做得狠一点，这样才能活下去。,2013/韩国/剧情犯罪,新世界,187,8.8
342219人评价,我们都有权利不与自己的过去和解。,2016/美国/剧情家庭,海边的曼彻斯特,188,8.6
205688人评价,有一些东西不应该被遗忘。,2015/中国大陆/纪录片,二十二,189,8.7
163801人评价,永远看不腻的喜剧。,1966/法国英国/喜剧战争,虎口脱险,190,8.9
274472人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015/爱尔兰加拿大英国美国/剧情家庭,房间,191,8.8
544887人评价,不要企图在重复中寻找已经失去的爱。,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,192,8.5
143248人评价,骨灰级歌舞片。,1952/美国/喜剧歌舞爱情,雨中曲,193,9.0
303965人评价,对爱的执着，可以超越一切。,2001/美国/冒险剧情科幻,人工智能,194,8.6
323757人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989/日本/动画奇幻冒险,魔女宅急便,195,8.6
156267人评价,故事的反转与反转，分裂电影的始祖。,1960/美国/悬疑惊悚恐怖,惊魂记,196,9.0
399259人评价,世界不完美，爱会有奇迹。,2017/美国中国香港/剧情儿童家庭,奇迹男孩,197,8.6
551667人评价,中国版《两杆大烟枪》。,2006/中国大陆中国香港/喜剧犯罪,疯狂的石头,198,8.4
127355人评价,大海啊，不全是水。,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,199,9.1
210309人评价,人生的N种可能性。,1950/日本/剧情犯罪悬疑,罗生门,200,8.8
243429人评价,少见的超越首部的续集，动作片中的经典。,1991/美国法国/动作科幻,终结者2：审判日,201,8.7
209063人评价,传奇，不是每个人都可以拥有。,1994/美国/剧情爱情战争西部,燃情岁月,202,8.8
214413人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013/美国希腊/剧情爱情,爱在午夜降临前,203,8.8
191735人评价,中国式内在的美国电影。,1940/美国/剧情爱情战争,魂断蓝桥,204,8.8
738280人评价,黑小鸭速效美白记。,2010/泰国/剧情喜剧爱情,初恋这件小事,205,8.4
286607人评价,爱上未来的你。 ,2006/日本/剧情爱情科幻动画,穿越时空的少女,206,8.6
560501人评价,我们组成了家。,2018/日本/剧情犯罪家庭,小偷家族,207,8.7
201806人评价,坚硬的信仰。,2004/中国大陆中国香港/剧情犯罪,可可西里,208,8.8
183392人评价,天使暂时离开。,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,209,8.8
191264人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968/英国美国/科幻惊悚冒险,2001太空漫游,210,8.8
388969人评价,来啊，互相伤害啊！,2016/意大利/剧情喜剧,完美陌生人,211,8.5
176465人评价,弱者送给弱者的一刀。,1991/中国台湾/剧情犯罪,牯岭街少年杀人事件,212,8.8
342731人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,2009/德国美国/剧情犯罪,无耻混蛋,213,8.6
344073人评价,王家卫是一种风格，张国荣是一个代表。,1990/中国香港/犯罪剧情爱情,阿飞正传,214,8.5
306530人评价,嬉笑怒骂，调风动月。,1992/中国香港中国大陆/动作爱情武侠古装,新龙门客栈,215,8.6
408797人评价,一个单凭体香达到高潮的男人。,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,216,8.5
588685人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011/美国加拿大/科幻悬疑惊悚,源代码,217,8.4
83710人评价,永远的小人物，伟大的卓别林。,1931/美国/喜剧剧情爱情,城市之光,218,9.3
252614人评价,谁说王家卫镜头很晃？,2004/美国德国/动作悬疑惊悚,谍影重重2,219,8.6
302142人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002/美国德国捷克/动作悬疑惊悚,谍影重重,220,8.6
353015人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993/中国香港/剧情爱情奇幻古装,青蛇,221,8.5
332961人评价,不可猜的青春迷笛。 ,1996/英国/剧情犯罪,猜火车,222,8.5
254820人评价,做一颗让别人需要你的棋子。,2005/美国法国/剧情犯罪,战争之王,223,8.6
143881人评价,天使保护事件始末。,2007/印度/剧情儿童家庭,地球上的星星,224,8.9
243167人评价,每个美丽事物背后都是滴血的现实。,2006/美国德国/剧情惊悚冒险,血钻,225,8.6
362634人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008/美国德国/剧情爱情,朗读者,226,8.6
comment_number,describe,introduce,movie_name,serial_number,start
1950398人评价,希望让人自由。,1994/美国/犯罪剧情,肖申克的救赎,1,9.7
1439002人评价,风华绝代。,1993/中国大陆中国香港/剧情爱情同性,霸王别姬,2,9.6
1481467人评价,一部美国近现代史。,1994/美国/剧情爱情,阿甘正传,3,9.5
1675825人评价,怪蜀黍和小萝莉不得不说的故事。,1994/法国/剧情动作犯罪,这个杀手不太冷,4,9.4
935762人评价,最美的谎言。,1997/意大利/剧情喜剧爱情战争,美丽人生,5,9.5
1427433人评价,失去的才是永恒的。 ,1997/美国/剧情爱情灾难,泰坦尼克号,6,9.4
1526367人评价,最好的宫崎骏，最好的久石让。 ,2001/日本/剧情动画奇幻,千与千寻,7,9.3
756216人评价,拯救一个人，就是拯救整个世界。,1993/美国/剧情历史战争,辛德勒的名单,8,9.5
1422537人评价,诺兰给了我们一场无法盗取的梦。,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,9.3
981564人评价,永远都不能忘记你所爱的人。,2009/美国英国/剧情,忠犬八公的故事,10,9.4
1183746人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998/意大利/剧情音乐,海上钢琴师,11,9.3
938149人评价,小瓦力，大人生。,2008/美国/科幻动画冒险,机器人总动员,12,9.3
1310972人评价,英俊版憨豆，高情商版谢耳朵。,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,13,9.2
1046572人评价,如果再也不能见到你，祝你早安，午安，晚安。,1998/美国/剧情科幻,楚门的世界,14,9.3
913106人评价,天籁一般的童声，是最接近上帝的存在。 ,2004/法国瑞士德国/剧情音乐,放牛班的春天,15,9.3
1054743人评价,爱是一种力量，让我们超越时空感知它的存在。,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,16,9.3
1032316人评价,一生所爱。,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之大圣娶亲,17,9.2
633785人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011/韩国/剧情,熔炉,18,9.3
1227104人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016/美国/喜剧动画冒险,疯狂动物城,19,9.2
